Airline ID,Flight Number,Departure Datetime,Arrival Datetime,Departure Time,Arrival Time,Booking Code,Passenger Name,Seat Number,Class,Fare,Extras,Loyalty Points,Status,Gate,Terminal,Baggage Claim,Duration (hours),Layovers,Layover Locations,Aircraft Type,Pilot,Cabin Crew,Inflight Entertainment,Meal Option,WiFi Availability,Window Seat,Aisle Seat,Emergency Exit Row,Number of Stops,Reward Program Member,flag_status
6,2637,2023-06-26 00:11:20,2023-10-30 21:30:16,13:48:45,21:01:47,Bqlf,Banul,Seattwv,Economy,436.12,Meal,3649,Cancelled,Gatezn,A,Claimjlo,8.06,1,Locwfq,Typeruh,Eyzh,Dgal,Yes,Non-Vegetarian,Not Available,True,True,False,2,Yes,1
5,6966,2023-04-27 21:36:15,2023-10-27 13:13:48,14:05:17,09:12:24,Bzil,Kanhr,Seatigs,Economy,965.8,No Extras,2598,Pending,Gatemh,D,Claimclj,6.68,1,Locggr,Typesrc,Okty,Vndx,No,Vegetarian,Not Available,False,False,False,2,No,0
12,5670,2023-03-31 15:08:52,2023-12-30 10:58:37,12:47:06,22:28:40,Bqpb,Ecvfx,Seatjuh,Economy,329.94,Meal,0,Pending,Gateuu,C,Claimmps,9.48,1,Loclxb,Typelsa,Uqzr,Pkjb,No,Vegan,Available,False,False,True,0,No,0
1,6203,2023-08-04 16:59:58,2023-03-01 18:34:01,02:46:37,10:53:22,Brpj,Ueuyb,Seatuuc,Economy,165.07,Meal,0,Confirmed,Gatehx,A,Claimuto,1.98,0,Locoga,Typepnz,Olhe,Ahun,No,Vegetarian,Not Available,False,True,False,0,Yes,10
8,6134,2023-03-07 01:08:36,2023-03-30 04:51:17,13:46:28,07:10:26,Bsdg,Cdwza,Seatlty,Business,491.32,Meal,0,Cancelled,Gatexu,B,Claimiky,8.45,0,Locwvx,Typedlg,Djhp,Dzum,Yes,Non-Vegetarian,Not Available,True,True,False,2,Yes,9
1,2890,2023-01-17 08:11:37,2023-10-24 01:31:46,02:58:15,11:42:36,Bpsw,Pszwh,Seatyps,First,533.31,Meal,0,Confirmed,Gateep,B,Claimhcr,6.4,2,Locbxp,Typeeny,Mqap,Simt,Yes,Non-Vegetarian,Available,False,True,False,2,Yes,8
5,4205,2023-09-23 06:45:23,2023-05-28 08:46:14,12:03:42,07:17:26,Beew,Bcngm,Seatuhu,Business,438.34,Meal,0,Pending,Gatesu,C,Claimzga,7.97,0,Locemt,Typevrd,Pkti,Mxgp,No,Non-Vegetarian,Not Available,True,True,True,0,No,11
6,9669,2023-11-17 12:17:08,2023-03-05 11:03:39,19:12:05,06:40:04,Bwgy,Gpcze,Seatglp,Economy,798.54,Extra Baggage,704,Cancelled,Gatehm,D,Claimegr,10.95,1,Loczzn,Typewrc,Byqb,Tgma,Yes,Vegan,Not Available,False,True,False,0,Yes,2
3,3366,2023-01-14 02:46:30,2023-12-10 07:52:08,17:37:22,22:33:03,Bqac,Wcxot,Seatjcr,First,519.29,Meal,0,Cancelled,Gatedt,D,Claimrpx,8.9,1,Locjio,Typewyu,Mirc,Fmop,No,Vegetarian,Available,True,True,True,2,Yes,1
15,8559,2023-12-14 12:29:22,2023-09-28 11:45:44,00:23:18,12:15:00,Bpvb,Kwrev,Seatrky,Economy,340.43,No Extras,0,Pending,Gateol,C,Claimlpl,2.4,2,Locwuw,Typetso,Oqnz,Ptqn,Yes,No Meal,Not Available,True,True,False,0,Yes,11
5,3526,2023-07-12 21:09:55,2023-10-25 09:43:26,20:20:27,03:12:24,Byau,Manii,Seataom,First,512.05,No Extras,0,Cancelled,Gateuz,A,Claimzqn,4.17,2,Locxay,Typeppk,Ifgc,Ztnm,No,No Meal,Not Available,False,False,True,0,No,8
14,8807,2023-05-24 07:36:24,2023-04-27 18:57:53,13:28:20,03:05:02,Bgjc,Duyzb,Seataor,Economy,904.61,Meal,2303,Pending,Gateyd,B,Claimbgd,10.88,1,Locfqe,Typevkk,Cmcg,Iacu,Yes,Vegan,Not Available,True,False,False,0,Yes,2
18,1366,2023-12-01 07:26:06,2023-01-09 05:22:54,21:14:39,18:11:31,Brcg,Petrb,Seatvfv,Business,868.56,Meal,0,Confirmed,Gateqi,B,Claimkeb,4.32,1,Locfgu,Typeyhi,Muac,Qycq,Yes,Vegetarian,Available,False,True,False,1,Yes,2
16,7521,2023-06-26 14:16:59,2023-06-05 17:19:03,22:04:22,06:21:09,Boax,Noyjp,Seatfof,Economy,672.46,Meal,0,Pending,Gateto,A,Claimqcc,4.38,2,Locxpo,Typevck,Jvcd,Fscs,No,No Meal,Not Available,True,True,False,1,Yes,11
6,7606,2023-09-11 04:16:01,2023-10-11 22:28:46,16:44:33,08:12:21,Bsez,Hzzxx,Seatxvy,First,668.34,No Extras,0,Pending,Gategi,A,Claimyse,8.38,0,Locitg,Typehvz,Glyb,Xknc,No,Non-Vegetarian,Available,True,False,True,0,No,8
14,1012,2023-01-24 13:26:15,2023-09-21 23:08:58,12:43:37,05:02:30,Buvg,Untjm,Seatnun,First,622.34,Extra Baggage,681,Pending,Gatemi,D,Claimgov,2.85,2,Loclwb,Typetfn,Zebd,Dmdf,No,Vegetarian,Available,True,False,False,0,No,8
8,9727,2023-07-04 14:07:52,2023-05-19 11:40:00,16:59:31,02:55:56,Bkav,Sbzen,Seattqk,First,267.69,Extra Baggage,0,Pending,Gateel,A,Claimlmn,7.64,1,Locifm,Typeoos,Ovsg,Oygq,No,Vegan,Available,False,False,True,1,Yes,2
7,4239,2023-01-29 17:55:16,2023-09-08 03:01:46,03:21:53,07:55:52,Bbnj,Xuwuz,Seatrkt,Economy,634.86,Meal,0,Confirmed,Gatezi,B,Claimczk,7.91,0,Loccrq,Typegmy,Fffc,Rlxj,Yes,No Meal,Not Available,True,False,False,1,Yes,8
8,3317,2023-01-04 22:52:54,2023-04-06 21:24:11,08:22:14,14:33:16,Bcne,Yxhae,Seatith,Economy,620.32,Extra Baggage,870,Pending,Gateok,A,Claimmts,9.03,1,Locycf,Typecaq,Eyym,Gntc,No,Non-Vegetarian,Not Available,False,False,True,0,No,0
13,5042,2023-09-25 07:27:17,2023-07-10 12:19:42,00:54:26,22:54:23,Bqga,Ykhqy,Seatrqy,Business,590.39,No Extras,0,Cancelled,Gatepe,B,Claimndn,9.29,2,Locizq,Typelsj,Yzej,Gksl,No,Vegan,Available,True,True,True,2,No,11
6,8485,2023-07-19 22:13:04,2023-05-19 14:20:10,01:46:48,03:11:03,Bxkf,Jnaeo,Seatzlv,Economy,814.97,Meal,163,Confirmed,Gatecx,D,Claimirb,9.54,1,Locvkg,Typeyyd,Hxqn,Lvmr,No,Vegan,Available,True,True,False,2,Yes,3
18,1375,2023-12-14 18:07:26,2023-07-30 15:29:17,04:07:22,12:23:43,Bpnq,Joaxk,Seatzes,Economy,93.18,No Extras,3523,Cancelled,Gateam,D,Claimjit,10.82,0,Lockzx,Typegdb,Anom,Gges,Yes,Vegan,Not Available,True,True,True,1,Yes,11
2,1256,2023-10-26 00:45:19,2023-10-24 12:32:50,03:05:36,08:29:20,Bong,Rfbbq,Seatoyr,First,484.26,Meal,0,Pending,Gategi,C,Claimmau,1.08,1,Locnoj,Typewpy,Phsh,Oxhc,Yes,Vegan,Not Available,True,True,False,1,No,3
8,1449,2023-07-11 01:05:11,2023-10-08 23:25:46,00:58:17,04:00:10,Bjsg,Vetnl,Seatzxd,First,100.9,Meal,154,Cancelled,Gateab,A,Claimhpx,8.54,2,Locnqh,Typeqph,Gelj,Kpgg,No,Vegan,Not Available,True,False,False,2,Yes,8
11,4212,2023-02-28 06:07:36,2023-08-01 13:57:42,17:03:35,16:08:39,Boxz,Dirjg,Seatnnm,Economy,806.0,Meal,0,Cancelled,Gateeg,B,Claimuqv,7.6,2,Locopw,Typeluh,Hflu,Rblb,Yes,No Meal,Not Available,True,True,True,1,Yes,9
